COMMUNE,sd_a_01-students_admitted_exam,sd_a_01-total_students_sitting_exam,passing_exam,commune,supplies_received,commune,functional_water,commune,latrines_per_class,commune,assisted_births,commune,vac_total,commune,csps_val,commune,water_access,commune,projected_births
BINDE,379,777,0.487773488,BINDE,5.384615385,BINDE ,61.53846154,BINDE ,0.769230769,BINDE ,0.560710195,BINDE ,0.879030561,BINDE ,0.5,BINDE ,0.830121772,BINDE ,0.344215349
BISSIGA,239,638,0.37460815,BISSIGA,44.8,BISSIGA ,90,BISSIGA ,0.5,BISSIGA ,0.7,BISSIGA ,0.928818496,BISSIGA ,1,BISSIGA ,0.790946126,BISSIGA ,0.335802469
BITTOU,615,878,0.700455581,BITTOU,13.125,BITTOU ,62.5,BITTOU ,0.375,BITTOU ,0.805260618,BITTOU ,1.052973552,BITTOU ,0.5,BITTOU ,0.399508164,BITTOU ,0.28957529
BOALA,124,269,0.460966543,BOALA,0,BOALA ,80,BOALA ,0.9,Boala ,0.418540867,Boala ,0.909233338,BOALA ,0,BOALA ,0.785869861,BOALA,0.241908941
BOUDRY,795,1008,0.788690476,BOUDRY,9.24,BOUDRY ,64,BOUDRY ,0.72,BOUDRY ,0.977934486,BOUDRY ,1.06983394,BOUDRY ,0.555555556,BOUDRY ,0.706461176,BOUDRY ,0.047088262
BOULSA,1305,1880,0.694148936,BOULSA,0,BOULSA ,76.19047619,BOULSA ,0.714285714,Boulsa ,0.684053947,Boulsa ,0.955063619,BOULSA ,0,BOULSA ,0.685498008,BOULSA,0.468266561
BOUNDORE,77,242,0.318181818,BOUNDORE,24.5,BOUNDORE ,50,BOUNDORE ,0.5,BOUNDORE ,0.896285915,BOUNDORE ,1.036161049,BOUNDORE ,0,BOUNDORE ,0.637224431,BOUNDORE ,0.025227751
BOUROUM,541,672,0.805059524,BOUROUM,8.4,BOUROUM ,80,BOUROUM ,0.933333333,Bouroum ,0.846263854,Bouroum ,1.145066608,BOUROUM ,0,BOUROUM ,0.568229905,BOUROUM,0.226671434
BOURZANGA,476,552,0.862318841,BOURZANGA,4.8125,BOURZANGA ,43.75,BOURZANGA ,0.8125,BOURZANGA ,0.800795372,BOURZANGA ,4.696015724,BOURZANGA ,0,BOURZANGA ,0.581409845,BOURZANGA ,0.372740419
BOUSSE,792,1592,0.497487437,BOUSSE,0,BOUSSE ,47.61904762,BOUSSE ,0.476190476,BOUSSE ,0.474302496,BOUSSE ,0.82184466,,,BOUSSE ,0.780565632,BOUSSE ,0.483113069
BOUSSOUMA (GARANGO),617,954,0.646750524,BOUSSOUMA (GARANGO),5.6,BOUSSOUMA (GARANGO) ,93.33333333,BOUSSOUMA (GARANGO) ,0.4,BOUSSOUMA (GARANGO) ,0.65248227,BOUSSOUMA (GARANGO) ,0.902342413,BOUSSOUMA (GARANGO) ,1,BOUSSOUMA (GARANGO) ,0.865091538,BOUSSOUMA (GARANGO) ,0.704491726
BOUSSOUMA (KAYA),938,1514,0.619550859,BOUSSOUMA (KAYA),14.28,BOUSSOUMA (KAYA) ,80,BOUSSOUMA (KAYA) ,0.48,BOUSSOUMA (KAYA) ,0.582522419,BOUSSOUMA (KAYA) ,1.022035535,BOUSSOUMA (KAYA) ,0,BOUSSOUMA (KAYA) ,0.743500777,BOUSSOUMA (KAYA) ,0.225720282
COMIN-YANGA,311,785,0.396178344,COMIN-YANGA,3.733333333,COMIN-YANGA ,73.33333333,COMIN-YANGA ,0.533333333,COMIN-YANGA ,0,COMIN-YANGA ,1.066509251,COMIN-YANGA ,0,COMIN-YANGA ,0.56097561,COMIN-YANGA ,0.214035088
DABLO,249,506,0.492094862,DABLO,0,DABLO ,100,DABLO ,0.9,DABLO ,0.653911565,DABLO ,1.034728923,,,DABLO ,0.709539649,DABLO ,0.220238095
DAKORO,213,276,0.77173913,DAKORO,15.4,DAKORO ,10,DAKORO ,0.3,DAKORO ,1.076923077,DAKORO ,1.05730269,DAKORO ,0,DAKORO ,0.557580415,DAKORO ,0.479395604
DAPELOGO,734,1164,0.630584192,DAPELOGO,3.85,DAPELOGO ,70,DAPELOGO ,0.6,DAPELOGO ,0.748878924,DAPELOGO ,0.958662601,DAPELOGO ,0,DAPELOGO ,0.786299253,DAPELOGO ,0.187344295
DARGO,539,714,0.754901961,DARGO,0.466666667,DARGO ,93.33333333,DARGO ,0.733333333,Dargo ,0.834605598,Dargo ,1.147400562,DARGO ,0,DARGO ,0.659121288,DARGO,0.24783715
DEOU,99,163,0.607361963,DEOU,6.066666667,DEOU ,33.33333333,DEOU ,0.466666667,DEOU ,0.548387097,DEOU ,1.1825977,DEOU ,0.333333333,DEOU ,0.334546873,DEOU ,0.199039121
DIALGAYE,401,688,0.582848837,DIALGAYE,1.4,DIALGAYE ,80,DIALGAYE ,0.666666667,DIALGAYE ,0.680335508,DIALGAYE ,0.925820897,DIALGAYE ,0.75,DIALGAYE ,0.893781648,DIALGAYE ,0.330848089
DIGUEL ,29,83,0.34939759,DIGUEL,9.625,DIGUEL ,0,DIGUEL ,0.375,DIGUEL ,0.381782946,DIGUEL ,0.787976871,,,DIGUEL,0.674267399,DIGUEL ,0.30620155
DJIBO,547,838,0.65274463,DJIBO,1.647058824,DJIBO ,35.29411765,DJIBO ,0.647058824,DJIBO ,0.532867946,DJIBO ,0.964167238,DJIBO ,1,DJIBO ,0.536212996,DJIBO ,0.555264689
DORI,612,1314,0.465753425,DORI,8.615384615,DORI ,53.84615385,DORI ,0.653846154,DORI ,0.672138764,DORI ,1.026953994,DORI ,0.555555556,DORI ,0.629338069,DORI ,0.498528729
DOULOUGOU,437,627,0.696969697,DOULOUGOU,8.3125,DOULOUGOU ,50,DOULOUGOU ,0.5,DOULOUGOU ,0.536337209,DOULOUGOU ,0.918170342,,,DOULOUGOU ,0.913804902,DOULOUGOU ,0.382267442
DOUNA,318,367,0.866485014,DOUNA,7,DOUNA ,50,DOUNA ,0.3,DOUNA ,0.646216769,DOUNA ,0.950703754,DOUNA ,1,DOUNA ,0.823954403,DOUNA ,0.472392638
DOURTENGA,216,316,0.683544304,DOURTENGA,25.9,DOURTENGA ,70,DOURTENGA ,0.5,DOURTENGA ,0,DOURTENGA ,1.053635512,DOURTENGA ,0,DOURTENGA ,0.721258769,DOURTENGA ,0.395041322
FALAGOUNTOU,176,269,0.654275093,FALAGOUNTOU,6.3,FALAGOUNTOU ,80,FALAGOUNTOU ,0.4,FALAGOUNTOU ,1.166322314,FALAGOUNTOU ,1.317320754,FALAGOUNTOU ,0,FALAGOUNTOU ,0.730593401,FALAGOUNTOU ,0.399793388
GAONGO,148,315,0.46984127,GAONGO,20.36363636,GAONGO ,72.72727273,GAONGO ,0.545454545,GAONGO ,0.879940343,GAONGO ,1.015697532,GAONGO ,0,GAONGO ,0.547962703,GAONGO ,0.085011186
GARANGO,1148,2472,0.464401294,GARANGO,5.133333333,GARANGO ,93.33333333,GARANGO ,0.4,GARANGO ,0.636287274,GARANGO ,0.911592521,GARANGO ,0.9,GARANGO ,0.841822451,GARANGO ,0.652666947
GOGO,554,1107,0.500451671,GOGO,0.933333333,GOGO ,46.66666667,GOGO ,0.333333333,GOGO ,0.722648752,GOGO ,0.997660759,GOGO ,0.666666667,GOGO ,0.720957982,GOGO ,0.483205374
GOMBOUSSOUGOU,520,751,0.69241012,GOMBOUSSOUGOU,3.9375,GOMBOUSSOUGOU ,56.25,GOMBOUSSOUGOU ,0.625,GOMBOUSSOUGOU ,0.826899634,GOMBOUSSOUGOU ,1.006976982,GOMBOUSSOUGOU ,1,GOMBOUSSOUGOU ,0.773500526,GOMBOUSSOUGOU ,0.31735067
GORGADJI,171,330,0.518181818,GORGADJI,9.5,GORGADJI ,42.85714286,GORGADJI ,0.642857143,GORGADJI ,0.655472637,GORGADJI ,0.993490365,GORGADJI ,0,GORGADJI ,0.354969183,GORGADJI ,0.226368159
GOROM-GOROM,535,981,0.545361876,GOROM-GOROM,7.84,GOROM-GOROM ,40,GOROM-GOROM ,0.4,GOROM-GOROM ,0.451449528,GOROM-GOROM ,1.051691926,GOROM-GOROM ,1,GOROM-GOROM ,0.454160299,GOROM-GOROM ,0.142333217
GOUNGHIN,637,942,0.676220807,GOUNGHIN,9.8,GOUNGHIN ,60,GOUNGHIN ,0.65,GOUNGHIN ,0.714342789,GOUNGHIN ,0.888091886,GOUNGHIN ,0.75,GOUNGHIN ,0.896817222,GOUNGHIN ,0.957251298
GUIARO,165,342,0.48245614,GUIARO,0,GUIARO ,50,GUIARO ,0.5,GUIARO ,1.067669173,GUIARO ,1.087063066,GUIARO ,0.666666667,GUIARO ,0.660565514,GUIARO ,0.237781955
GUIBA,560,745,0.751677852,GUIBA,4.2,GUIBA ,75,GUIBA ,0.65,GUIBA ,0.683707865,GUIBA ,0.90732712,GUIBA ,0,GUIBA ,0.917611489,GUIBA ,0.215730337
GUIBARE,430,622,0.691318328,GUIBARE,0.466666667,GUIBARE ,66.66666667,GUIBARE ,0.533333333,GUIBARE ,1.018880647,GUIBARE ,2.312937735,GUIBARE ,0.142857143,GUIBARE ,0.778466558,GUIBARE ,0.703978422
IPELCE,284,474,0.599156118,IPELCE,2.916666667,IPELCE ,58.33333333,IPELCE ,0.916666667,IPELCE ,0.566459627,IPELCE ,0.894136398,,,IPELCE ,0.955110497,IPELCE ,0.208695652
KANDO,475,670,0.708955224,KANDO,29.4,KANDO ,73.33333333,KANDO ,0.666666667,KANDO ,0.722987672,KANDO ,0.945334043,KANDO ,0,KANDO ,0.794252909,KANDO ,0.26831037
KANKALABA,245,292,0.839041096,KANKALABA,8.4,KANKALABA ,30,KANKALABA ,0.2,KANKALABA ,0.653483992,KANKALABA ,0.944382725,KANKALABA ,0,KANKALABA ,0.649200511,KANKALABA ,0.355932203
KAYA,1818,2661,0.683201804,KAYA,4.48,KAYA ,76,KAYA ,0.56,KAYA ,0.606765328,KAYA ,0.98259003,,,KAYA ,0.814837905,KAYA ,0.194352159
KAYAO,490,907,0.540242558,KAYAO,10.26666667,KAYAO ,73.33333333,KAYAO ,0.6,KAYAO ,0.473159145,KAYAO ,0.922411121,KAYAO ,0,KAYAO ,0.765506481,KAYAO ,0.077909739
KELBO,186,383,0.485639687,KELBO,9.8,KELBO ,60,KELBO ,0.2,KELBO ,0.785972524,KELBO ,1.066952902,KELBO ,0,KELBO ,0.690682298,KELBO ,0.318872017
KOGHO,193,282,0.684397163,KOGHO,18.2,KOGHO ,10,KOGHO ,0.8,KOGHO ,0.655443322,KOGHO ,0.962482945,KOGHO ,0,KOGHO ,0.79466884,KOGHO ,0.248035915
KOMBISSIRI,808,1472,0.548913043,KOMBISSIRI,14.36842105,KOMBISSIRI ,52.63157895,KOMBISSIRI ,0.315789474,KOMBISSIRI ,0.816172356,KOMBISSIRI ,0.952762752,,,KOMBISSIRI ,0.830412352,KOMBISSIRI ,0.735590375
KOMTOEGA,221,431,0.512761021,KOMTOEGA,0,KOMTOEGA ,70,KOMTOEGA ,0.6,KOMTOEGA ,0.675513699,KOMTOEGA ,0.892817368,KOMTOEGA ,0,KOMTOEGA ,0.961783709,KOMTOEGA ,0.511130137
KONGOUSSI,1079,2116,0.509924386,KONGOUSSI,2.423076923,KONGOUSSI ,73.07692308,KONGOUSSI ,0.653846154,KONGOUSSI ,1.365148228,KONGOUSSI ,9.788930848,KONGOUSSI ,0,KONGOUSSI ,0.801813706,KONGOUSSI ,0.370932755
KORSIMORO,991,1331,0.744552968,KORSIMORO,5.25,KORSIMORO ,40,KORSIMORO ,0.2,KORSIMORO ,0.582522419,KORSIMORO ,0.988601324,KORSIMORO ,0.142857143,KORSIMORO ,0.743044815,KORSIMORO ,0.193283724
KOUPELA,1191,1996,0.596693387,KOUPELA,34.53333333,KOUPELA ,86.66666667,KOUPELA ,0.666666667,KOUPELA ,1.221886539,KOUPELA ,1.034542581,KOUPELA ,0.666666667,KOUPELA ,0.832501515,KOUPELA ,0.999664317
KOUTOUGOU,96,103,0.932038835,KOUTOUGOU,17.5,KOUTOUGOU ,50,KOUTOUGOU ,0.5,KOUTOUGOU ,0.306179775,KOUTOUGOU ,0.941117232,KOUTOUGOU ,0,KOUTOUGOU ,0.375899043,KOUTOUGOU ,0.097378277
LALGAYE,116,262,0.442748092,LALGAYE,0.7,LALGAYE ,90,LALGAYE ,0.5,LALGAYE ,0,LALGAYE ,0.926873124,LALGAYE ,1,LALGAYE ,0.724319325,LALGAYE ,0.198364008
LAYE,222,576,0.385416667,LAYE,0,LAYE ,40,LAYE ,0.7,,,,,,,LAYE ,0.972422062,LAYE,
LOUMANA,406,572,0.70979021,LOUMANA,7.466666667,LOUMANA ,0,LOUMANA ,0.2,LOUMANA ,1.051111111,LOUMANA ,1.067255817,LOUMANA ,0.285714286,LOUMANA ,0.55166532,LOUMANA ,0.604444444
LOUMBILA,746,969,0.769865841,LOUMBILA,7.466666667,LOUMBILA ,46.66666667,LOUMBILA ,0.666666667,LOUMBILA ,0.62195122,LOUMBILA ,0.895086255,LOUMBILA ,0,LOUMBILA ,0.782213556,LOUMBILA ,0.220154044
MANE,572,711,0.804500703,MANE,2.058823529,MANE ,76.47058824,MANE ,0.470588235,MANE ,0.582950015,MANE ,0.939462576,MANE ,0,MANE ,0.776169652,MANE ,0.316773996
MANGA,598,944,0.633474576,MANGA,17.73333333,MANGA ,86.66666667,MANGA ,0.4,MANGA ,0.629187961,MANGA ,0.892066435,MANGA ,0.571428571,MANGA ,0.914456408,MANGA ,0.507666099
MANGODARA,555,1041,0.53314121,MANGODARA,11.08333333,MANGODARA ,29.16666667,MANGODARA ,0.625,MANGODARA ,0.8221843,MANGODARA ,1.214391145,MANGODARA ,0.25,MANGODARA ,0.440121103,MANGODARA ,0.246757679
MANSILA,244,387,0.630490956,MANSILA,0,MANSILA ,20,MANSILA ,0.15,MANSILA ,0.985679214,MANSILA ,0.996403445,MANSILA ,0,MANSILA ,0.694978468,MANSILA ,0.091653028
MARKOYE,298,533,0.559099437,MARKOYE,8.866666667,MARKOYE ,33.33333333,MARKOYE ,0.4,MARKOYE ,0.398030942,MARKOYE ,1.119928206,MARKOYE ,0,MARKOYE ,0.502966026,MARKOYE ,0.108766995
MEGUET,392,733,0.53478854,MEGUET,1.4,MEGUET ,73.33333333,MEGUET ,0.733333333,MEGUET ,0.882205514,MEGUET ,0.951171771,MEGUET ,0.5,MEGUET ,0.872302353,MEGUET ,0.395989975
MOGTEDO,411,880,0.467045455,MOGTEDO,20.65,MOGTEDO ,65,MOGTEDO ,0.55,MOGTEDO ,0.957807571,MOGTEDO ,1.149533523,MOGTEDO ,0.666666667,MOGTEDO ,0.528118248,MOGTEDO ,0.110804416
MOUSSODOUGOU,303,338,0.896449704,MOUSSODOUGOU,9.8,MOUSSODOUGOU ,40,MOUSSODOUGOU ,0.1,MOUSSODOUGOU ,0.678913738,MOUSSODOUGOU ,0.983876965,MOUSSODOUGOU ,0.5,MOUSSODOUGOU ,0.520701413,MOUSSODOUGOU ,0.279552716
NAGBINGOU,0,0,0,NAGBINGOU,18.2,NAGBINGOU ,80,NAGBINGOU ,1,Nagbingou ,0.686684073,Nagbingou ,0.960091636,NAGBINGOU ,0,NAGBINGOU ,0.613970784,NAGBINGOU ,0.283289817
NAGREONGO,305,435,0.701149425,NAGREONGO,5.133333333,NAGREONGO ,66.66666667,NAGREONGO ,0.866666667,NAGREONGO ,0.808608762,NAGREONGO ,1.01910984,NAGREONGO ,0.8,NAGREONGO ,0.845681701,NAGREONGO ,0.079169869
NAMISSIGUIMA,53,88,0.602272727,NAMISSIGUIMA,39,NAMISSIGUIMA ,71.42857143,NAMISSIGUIMA ,1,NAMISSIGUIMA ,1.137295082,NAMISSIGUIMA ,1.02225598,NAMISSIGUIMA ,0,NAMISSIGUIMA ,0.662509811,NAMISSIGUIMA ,0.581967213
NASSERE,123,278,0.442446043,NASSERE,0,NASSERE ,55.55555556,NASSERE ,0.666666667,NASSERE ,0.786392405,NASSERE ,1.624546662,NASSERE ,0,NASSERE ,0.809473168,NASSERE ,0.525316456
NASSOUMBOU,100,120,0.833333333,NASSOUMBOU,9.8,NASSOUMBOU ,50,NASSOUMBOU ,0.4,NASSOUMBOU ,0.422010399,NASSOUMBOU ,0.972501554,NASSOUMBOU ,0,NASSOUMBOU ,0.484510836,NASSOUMBOU ,0.654246101
NIANGOLOKO,648,1425,0.454736842,NIANGOLOKO,1.3125,NIANGOLOKO ,43.75,NIANGOLOKO ,0.375,NIANGOLOKO ,1.01907131,NIANGOLOKO ,1.227474302,NIANGOLOKO ,0,NIANGOLOKO ,0.54827303,NIANGOLOKO ,0.399944721
NIANKORODOUGOU,341,590,0.577966102,NIANKORODOUGOU,11.66666667,NIANKORODOUGOU ,0,NIANKORODOUGOU ,0.4,NIANKORODOUGOU ,1.089955022,NIANKORODOUGOU ,1.185079417,NIANKORODOUGOU ,0.8,NIANKORODOUGOU ,0.554735521,NIANKORODOUGOU ,0.530734633
NIAOGO,240,361,0.664819945,NIAOGO,11.9,NIAOGO ,90,NIAOGO ,0.9,NIAOGO ,0.643848289,NIAOGO ,0.94980036,NIAOGO ,1,NIAOGO ,0.856308089,NIAOGO ,0.472710453
NIOU,435,698,0.623209169,NIOU,10.9375,NIOU ,68.75,NIOU ,0.8125,NIOU ,0.416498994,NIOU ,0.830391617,,,NIOU ,0.893451872,NIOU ,0.207243461
NOBERE,397,581,0.683304647,NOB•À_•À_•À_•À_R•À_•À_•À_•À_,27.27586207,NOB•À_•À_•À_•À_R•À_•À_•À_•À_ ,58.62068966,NOB•À_•À_•À_•À_R•À_•À_•À_•À_ ,0.517241379,NOB•À_•À_•À_•À_R•À_•À_•À_•À_ ,0.735645253,NOB•À_•À_•À_•À_R•À_•À_•À_•À_ ,0.907007621,NOBERE ,0,,,NOBERE,0.74701535
OUARGAYE,442,702,0.62962963,OUARGAYE,4.55,OUARGAYE ,85,OUARGAYE ,0.65,OUARGAYE ,0.711463224,OUARGAYE ,0.983304449,OUARGAYE ,0.25,OUARGAYE ,0.255987384,OUARGAYE ,0.018453312
OUELENI,222,287,0.773519164,OUELENI,0,OUELENI ,16.66666667,OUELENI ,0.416666667,OUELENI ,1.059097978,OUELENI ,1.026477453,OUELENI ,0,OUELENI ,0.60021143,OUELENI ,0.354587869
OUO,298,482,0.618257261,OUO,21.38888889,OUO ,38.88888889,OUO ,0.388888889,OUO ,0.581546459,OUO ,1.087911475,OUO ,1,OUO ,0.574329336,OUO ,0.118258609
OURGOU-MANEGA,288,434,0.66359447,OURGOU-MANEGA,21,OURGOU-MANEGA ,50,OURGOU-MANEGA ,0.7,OURGOU-MANEGA ,0.611548556,OURGOU-MANEGA ,0.909599554,OURGOU-MANEGA ,0,OURGOU-MANEGA ,0.840131609,OURGOU-MANEGA ,0.293088364
OURSI,113,140,0.807142857,OURSI,7,OURSI ,40,OURSI ,0.1,OURSI ,0.298924731,OURSI ,1.133736402,OURSI ,1,OURSI ,0.301864195,OURSI ,0.110752688
PENSA,183,291,0.628865979,PENSA,0,PENSA ,71.42857143,PENSA ,0.571428571,PENSA ,0.826765509,PENSA ,1.078139265,,,PENSA ,0.663073918,PENSA ,0.275848615
PIBAORE,211,360,0.586111111,PIBAORE,0,PIBAORE ,40,PIBAORE ,0.6,PIBAORE ,0.634113411,PIBAORE ,0.979826807,PIBAORE ,0,PIBAORE ,0.738295283,PIBAORE ,0.258775878
PISSILA,560,1304,0.429447853,PISSILA,2.45,PISSILA ,60,PISSILA ,0.85,PISSILA ,0.562233069,PISSILA ,0.982400959,PISSILA ,0.5,PISSILA ,0.652810173,PISSILA ,0.531879195
PO,883,1399,0.631165118,PO,1.75,PO ,30,PO ,0.3,PO ,0.655830389,PO ,0.895419171,PO ,0.142857143,PO ,0.802351012,PO ,0.320141343
POBE-MENGAO,392,559,0.701252236,POBE-MENGAO,2.625,POBE-MENGAO ,25,POBE-MENGAO ,0.75,POBE-MENGAO ,0.851851852,POBE-MENGAO ,0.964013719,,,POBE-MENGAO ,0.643809196,POBE-MENGAO ,0.190994916
POUYTENGA,1045,1747,0.598168288,POUYTENGA,0,POUYTENGA ,50,POUYTENGA ,0.6,POUYTENGA ,0.798127178,POUYTENGA ,0.954302158,POUYTENGA ,0,POUYTENGA ,0.911390894,POUYTENGA ,0.598214286
ROLLO,287,417,0.6882494,ROLLO,2.1,ROLLO ,50,ROLLO ,0.9,ROLLO ,0.798172125,ROLLO ,2.343400937,ROLLO ,0,ROLLO ,0.727423131,ROLLO ,0.512566641
ROUKO,311,433,0.718244804,ROUKO,11.2,ROUKO ,60,ROUKO ,0.8,ROUKO ,0.782511211,ROUKO ,1.940323978,ROUKO ,0,ROUKO ,0.719485547,ROUKO ,0.468609865
SABCE,293,810,0.361728395,SABCE,0,SABCE ,55.55555556,SABCE ,0.777777778,SABCE ,0.711665444,SABCE ,2.893004213,SABCE ,0,SABCE ,0.767010309,SABCE ,0.311812179
SALOGO,184,355,0.518309859,SALOGO,2.8,SALOGO ,80,SALOGO ,0.7,SALOGO ,0.934232715,SALOGO ,1.044423415,SALOGO ,0,SALOGO ,0.788967259,SALOGO ,0.097807757
SAMPELGA,77,239,0.322175732,SAMPELGA,6.3,SAMPELGA ,70,SAMPELGA ,0.6,SAMPELGA ,1.003726708,SAMPELGA ,1.05788138,SAMPELGA ,0,SAMPELGA ,0.581125615,SAMPELGA ,0.160248447
SANGA,927,1386,0.668831169,SANGA,14,SANGA ,65,SANGA ,0.5,SANGA ,0,SANGA ,0.923183345,SANGA ,0.666666667,SANGA ,0.591188927,SANGA ,0.079380445
SAPONE,785,1214,0.646622735,SAPONE,19.66666667,SAPONE ,76.19047619,SAPONE ,0.619047619,SAPONE ,0.51501251,SAPONE ,0.909104771,,,SAPONE ,0.950966764,SAPONE ,0.229774812
SEBBA,132,383,0.34464752,SEBBA,1.5,SEBBA ,78.57142857,SEBBA ,0.142857143,SEBBA ,1.210184182,SEBBA ,1.088398246,SEBBA ,0,SEBBA ,0.657979848,SEBBA ,0.053629469
SEYTENGA,164,388,0.422680412,SEYTENGA,32.2,SEYTENGA ,70,SEYTENGA ,0.5,SEYTENGA ,0.698211194,SEYTENGA ,1.100344286,SEYTENGA ,0,SEYTENGA ,0.526684735,SEYTENGA ,0.366416619
SIDERADOUGOU,814,1414,0.575671853,SIDERADOUGOU,23.24,SIDERADOUGOU ,0,SIDERADOUGOU ,0.4,SIDERADOUGOU ,0.923197142,SIDERADOUGOU ,1.262083769,SIDERADOUGOU ,0.4,SIDERADOUGOU ,0.473982761,SIDERADOUGOU ,0.175708864
SINDOU,294,360,0.816666667,SINDOU,8.4,SINDOU ,0,SINDOU ,0.7,SINDOU ,0.48048048,SINDOU ,0.976767839,SINDOU ,0,SINDOU ,0.284212831,SINDOU ,0.418418418
SOLHAN,198,308,0.642857143,SOLHAN,7,SOLHAN ,60,SOLHAN ,0.4,SOLHAN ,1.109929078,SOLHAN ,1.103052922,SOLHAN ,0,SOLHAN ,0.60030156,SOLHAN ,0.018439716
SOUBAKANIEDOUGOU,284,837,0.339307049,SOUBAKANIEDOUGOU,10.26666667,SOUBAKANIEDOUGOU ,20,SOUBAKANIEDOUGOU ,0.8,SOUBAKANIEDOUGOU ,0.798602287,SOUBAKANIEDOUGOU ,1.104310205,SOUBAKANIEDOUGOU ,0.25,SOUBAKANIEDOUGOU ,0.605210732,SOUBAKANIEDOUGOU ,0.346886912
SOUDOUGUI,548,718,0.763231198,SOUDOUGUI,20.53333333,SOUDOUGUI ,46.66666667,SOUDOUGUI ,0.733333333,SOUDOUGUI ,0,SOUDOUGUI ,0.97611532,SOUDOUGUI ,0,SOUDOUGUI ,0.481380478,SOUDOUGUI ,0.063167531
SOURGOUBILA,450,1255,0.358565737,SOURGOUBILA,11.55,SOURGOUBILA ,30,SOURGOUBILA ,0.5,SOURGOUBILA ,0.552411874,SOURGOUBILA ,0.820394505,,,SOURGOUBILA ,0.661252187,SOURGOUBILA ,0.190630798
TANKOUGOUNADIE,58,108,0.537037037,TANKOUGOUNADIE,2.153846154,TANKOUGOUNADIE ,46.15384615,TANKOUGOUNADIE ,0.692307692,TANKOUGOUNADIE ,1.055162659,TANKOUGOUNADIE ,1.04322354,TANKOUGOUNADIE ,0,TANKOUGOUNADIE ,0.687055331,TANKOUGOUNADIE ,0.322489392
